"userid","audio","session","µtries","µhelps","Characters","Iterations","Iterations per Character"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",FALSE,0,"1.0795454545454545","0.06818181818181818182",3,16,"5.3333333333333333"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",FALSE,1,"1.0793650793650794","0.03174603174603174603",3,11,"3.6666666666666667"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",FALSE,2,"1.1000000000000000","0.01666666666666666667",3,11,"3.6666666666666667"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",TRUE,0,"1.2428571428142857","0.21428571428357142857",7,42,"6.0000000000000000"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",TRUE,1,"1.1333333332666667","0.02222222222000000000",7,28,"4.0000000000000000"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",TRUE,2,"1.1081081080810811","0.00000000000000000000",7,22,"3.1428571428571429"
"350189E0-1D41-4A93-9B6B-61F36673B4D9",FALSE,0,"1.2499999999852941","0.10294117646764705882",7,39,"5.5714285714285714"
"350189E0-1D41-4A93-9B6B-61F36673B4D9",TRUE,0,"1.1095890411095890","0.00000000000000000000",3,16,"5.3333333333333333"
"397D5732-4A91-4142-A23E-0903340A9243",FALSE,0,"1.0468750000000000","0.03124999999843750000",6,15,"2.5000000000000000"
"397D5732-4A91-4142-A23E-0903340A9243",FALSE,1,"1.0333333333333333","0.01111111111111111111",6,21,"3.5000000000000000"
"397D5732-4A91-4142-A23E-0903340A9243",FALSE,2,"1.1111111110740741","0.02777777777777777778",6,25,"4.1666666666666667"
"397D5732-4A91-4142-A23E-0903340A9243",TRUE,0,"1.0322580645161290","0.03225806451290322581",4,9,"2.2500000000000000"
"397D5732-4A91-4142-A23E-0903340A9243",TRUE,1,"1.02040816324489795918","0.00000000000000000000",4,14,"3.5000000000000000"
"397D5732-4A91-4142-A23E-0903340A9243",TRUE,2,"1.0408163265102041","0.00000000000000000000",4,14,"3.5000000000000000"
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",FALSE,0,"1.5480769230480769","0.09615384615096153846",5,30,"6.0000000000000000"
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",FALSE,1,"1.1428571428253968","0.01587301587301587302",5,15,"3.0000000000000000"
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",FALSE,2,"1.0476190476349206","0.00000000000000000000",5,15,"3.0000000000000000"
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",TRUE,0,"1.2432432432297297","0.00000000000000000000",5,18,"3.6000000000000000"
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",TRUE,1,"1.1447368420657895","0.00000000000000000000",5,20,"4.0000000000000000"
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",TRUE,2,"1.01754385963157894737","0.00000000000000000000",5,15,"3.0000000000000000"
"6EA83654-032B-4B7E-8756-B750667A953F",FALSE,0,"1.1869158878411215","0.09345794392523364486",4,20,"5.0000000000000000"
"6EA83654-032B-4B7E-8756-B750667A953F",FALSE,1,"1.4722222222083333","0.11111111111250000000",4,15,"3.7500000000000000"
"6EA83654-032B-4B7E-8756-B750667A953F",FALSE,2,"1.5555555555396825","0.04761904761904761905",4,13,"3.2500000000000000"
"6EA83654-032B-4B7E-8756-B750667A953F",TRUE,0,"1.1709401709401709","0.12820512820683760684",6,36,"6.0000000000000000"
"6EA83654-032B-4B7E-8756-B750667A953F",TRUE,1,"1.2602739725753425","0.12328767121917808219",6,22,"3.6666666666666667"
"6EA83654-032B-4B7E-8756-B750667A953F",TRUE,2,"1.1000000000333333","0.00000000000000000000",6,18,"3.0000000000000000"
"C8AA4988-01D4-491D-A815-B3FCF86F069D",FALSE,0,"1.8157894736631579","0.17368421052684210526",5,54,"10.8000000000000000"
"C8AA4988-01D4-491D-A815-B3FCF86F069D",FALSE,1,"1.3116883116753247","0.16883116882987012987",5,22,"4.4000000000000000"
"C8AA4988-01D4-491D-A815-B3FCF86F069D",FALSE,2,"1.4358974358589744","0.06410256410384615385",5,23,"4.6000000000000000"
"C8AA4988-01D4-491D-A815-B3FCF86F069D",TRUE,0,"1.7738693467135678","0.13567839195929648241",5,43,"8.6000000000000000"
"C8AA4988-01D4-491D-A815-B3FCF86F069D",TRUE,1,"1.8833333333416667","0.14999999999833333333",5,30,"6.0000000000000000"
"C8AA4988-01D4-491D-A815-B3FCF86F069D",TRUE,2,"1.3768115942028986","0.04347826086811594203",5,34,"6.8000000000000000"
"DC0DEEC8-AAF2-4729-950B-DC3477F08F74",FALSE,0,"1.2551440329012346","0.37448559670452674897",4,55,"13.7500000000000000"
"DC0DEEC8-AAF2-4729-950B-DC3477F08F74",FALSE,2,"1.2033898305084746","0.12711864406694915254",4,22,"5.5000000000000000"
"DC0DEEC8-AAF2-4729-950B-DC3477F08F74",TRUE,0,"1.4262295081639344","0.35245901639180327869",6,66,"11.0000000000000000"
"DC0DEEC8-AAF2-4729-950B-DC3477F08F74",TRUE,2,"1.2931034482672414","0.11206896551637931034",6,33,"5.5000000000000000"
"E5305753-7BB3-4A9E-BA11-AAB7789BE7CF",FALSE,0,"2.0635838150346821","0.25433526011445086705",5,46,"9.2000000000000000"
"E5305753-7BB3-4A9E-BA11-AAB7789BE7CF",FALSE,1,"1.4393939393383838","0.08080808080404040404",5,56,"11.2000000000000000"
"E5305753-7BB3-4A9E-BA11-AAB7789BE7CF",TRUE,0,"1.7723880596828358","0.33955223880373134328",5,68,"13.6000000000000000"
"E5305753-7BB3-4A9E-BA11-AAB7789BE7CF",TRUE,1,"1.5691056910243902","0.08536585365650406504",5,57,"11.4000000000000000"
"EA30CFA6-C6FF-4E03-9271-7692671CE515",FALSE,0,"1.5399999999600000","0.07499999999750000000",7,51,"7.2857142857142857"
"EA30CFA6-C6FF-4E03-9271-7692671CE515",FALSE,1,"1.4336283185309735","0.05309734513097345133",7,29,"4.1428571428571429"
"EA30CFA6-C6FF-4E03-9271-7692671CE515",FALSE,2,"1.4051724137844828","0.03448275861896551724",7,30,"4.2857142857142857"
"EA30CFA6-C6FF-4E03-9271-7692671CE515",TRUE,0,"1.4999999999880952","0.08333333333214285714",3,22,"7.3333333333333333"
"EA30CFA6-C6FF-4E03-9271-7692671CE515",TRUE,1,"1.2162162161891892","0.00000000000000000000",3,10,"3.3333333333333333"
"EA30CFA6-C6FF-4E03-9271-7692671CE515",TRUE,2,"1.2826086956304348","0.02173913043478260870",3,13,"4.3333333333333333"
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",FALSE,0,"1.1363636362954545","0.02272727272500000000",6,13,"2.1666666666666667"
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",FALSE,1,"1.1166666666166667","0.03333333333500000000",6,18,"3.0000000000000000"
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",FALSE,2,"1.01587301585714285714","0.09523809525396825397",6,19,"3.1666666666666667"
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",TRUE,0,"1.0384615384615385","0.01923076923076923077",4,11,"2.7500000000000000"
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",TRUE,1,"1.0384615384615385","0.00000000000000000000",4,11,"2.7500000000000000"
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",TRUE,2,"1.1323529411764706","0.01470588235294117647",4,14,"3.5000000000000000"
