"userid","session","µtries","µhelps","benefitfortries","benefitforhelps","Iterations","strokes"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",0,"1.1798245613771930","0.15789473684078947368","-0.1633116882688312","-0.14610389610175324675",58,228
"350189E0-1D41-4A93-9B6B-61F36673B4D9",0,"1.2009569377942584","0.06698564593110047847","0.1404109588757051","0.10294117646764705882",55,209
"397D5732-4A91-4142-A23E-0903340A9243",0,"1.0421052631578947","0.03157894736631578947","0.0146169354838710","-0.00100806451446572581",24,95
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",0,"1.4213483145842697","0.05617977527921348315","0.3048336798183472","0.09615384615096153846",48,178
"6EA83654-032B-4B7E-8756-B750667A953F",0,"1.1785714285669643","0.11160714285803571429","0.0159757169009506","-0.03474718428160396198",56,224
"C8AA4988-01D4-491D-A815-B3FCF86F069D",0,"1.7943444729871465","0.15424164524421593830","0.0419201269495901","0.03800581856754562285",97,389
"DC0DEEC8-AAF2-4729-950B-DC3477F08F74",0,"1.3408624229712526","0.36344969198932238193","-0.1710854752626998","0.02202658031272347028",121,487
"E5305753-7BB3-4A9E-BA11-AAB7789BE7CF",0,"1.8866213151836735","0.30612244897777777778","0.2911957553518463","-0.08521697868928047623",114,441
"EA30CFA6-C6FF-4E03-9271-7692671CE515",0,"1.5281690140528169","0.07746478873028169014","0.0399999999719048","-0.00833333333464285714",73,284
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",0,"1.0833333333020833","0.02083333333229166667","0.0979020978339160","0.00349650349423076923",24,96
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",1,"1.1111111110718954","0.02614379084836601307","-0.0539682539015873","0.00952380952603174603",39,153
"397D5732-4A91-4142-A23E-0903340A9243",1,"1.0287769784100719","0.00719424460431654676","0.01292517008843534082","0.01111111111111111111",35,139
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",1,"1.1438848920503597","0.00719424460431654676","-0.0018796992403927","0.01587301587301587302",35,139
"6EA83654-032B-4B7E-8756-B750667A953F",1,"1.3655172413586207","0.11724137930413793103","0.2119482496329908","-0.01217656010667808219",37,145
"C8AA4988-01D4-491D-A815-B3FCF86F069D",1,"1.6598984771573604","0.15736040608984771574","-0.5716450216663420","0.01883116883153679654",52,197
"E5305753-7BB3-4A9E-BA11-AAB7789BE7CF",1,"1.5112612612184685","0.08333333333040540541","-0.1297117516860064","-0.00455777285246366100",113,444
"EA30CFA6-C6FF-4E03-9271-7692671CE515",1,"1.3799999999533333","0.03999999999866666667","0.2174121023417843","0.05309734513097345133",39,150
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",1,"1.0803571428303571","0.01785714285803571429","0.0782051281551282","0.03333333333500000000",29,112
"16F0BBDD-9893-4601-9E28-D07FE3AB1959",2,"1.1044776119253731","0.00746268656716417910","-0.0081081080810811","0.01666666666666666667",33,134
"397D5732-4A91-4142-A23E-0903340A9243",2,"1.0891719744904459","0.01910828025477707006","0.0702947845638700","0.02777777777777777778",39,157
"4F31B368-A552-4ABD-B358-9ADA6FAC62B4",2,"1.0333333333333333","0.00000000000000000000","0.03007518800334165263","0.00000000000000000000",30,120
"6EA83654-032B-4B7E-8756-B750667A953F",2,"1.3333333333414634","0.02439024390243902439","0.4555555555063492","0.04761904761904761905",31,123
"C8AA4988-01D4-491D-A815-B3FCF86F069D",2,"1.3981481481342593","0.05092592592546296296","0.0590858416560758","0.02062430323573021182",57,216
"DC0DEEC8-AAF2-4729-950B-DC3477F08F74",2,"1.2478632478589744","0.11965811965726495726","-0.0897136177587668","0.01504967855056984220",55,234
"EA30CFA6-C6FF-4E03-9271-7692671CE515",2,"1.3703703703580247","0.03086419752962962963","0.1225637181540480","0.01274362818418290854",43,162
"F7F137DE-37A9-457A-B5E5-7921AEF2BA6C",2,"1.0763358778549618","0.05343511451145038168","-0.11647992531932774286","0.08053221290102707750",33,131
